track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Good Morning,P.S.,39,Good Morning,50,0.732,0.511,-5.101,1,11,0.0413,0.15,8.92e-06,0.059,0.691,171.907,161423
Say It Right,MØRFI,39,Say It Right,50,0.764,0.793,-6.506,0,5,0.0709,0.0132,0.00098,0.319,0.127,124.084,129677
Rude Boy,YES YES,54,Rude Boy,50,0.739,0.734,-6.062,1,6,0.259,0.0242,0,0.0921,0.471,101.995,174858
hot girl bummer,blackbear,80,hot girl bummer,5,0.778,0.559,-7.109,0,6,0.0776,0.128,0,0.399,0.678,129.989,185093
Moi... Lolita,Monaldin,47,Moi... Lolita,49,0.796,0.66,-6.695,0,4,0.0505,0.0531,2.73e-05,0.319,0.735,109.92,158312
Later Bitches,The Prince Karma,50,Later Bitches,49,0.769,0.518,-6.563,1,8,0.102,0.000573,0.108,0.342,0.504,121.116,247976
Whatever You Like,DLAY,34,Whatever You Like,49,0.687,0.679,-9.426,0,1,0.0432,0.109,0.000986,0.104,0.614,123.976,144677
RAPSTAR,Polo G,83,RAPSTAR,49,0.789,0.536,-6.862,1,6,0.242,0.41,0,0.129,0.437,81.039,165926
Without You,Baby Bluu,31,Without You,49,0.625,0.698,-5.804,1,0,0.146,0.0107,0,0.156,0.204,120.119,132625
Cool for the Summer,Alex D'Rosso,56,Cool for the Summer,49,0.805,0.871,-5.716,1,6,0.286,0.177,7.5e-06,0.266,0.443,136.01,171696
You Don't Know Me,Dame Dame,48,You Don't Know Me,49,0.701,0.836,-6.521,1,9,0.275,0.0304,0.000143,0.635,0.373,124.953,157320
Glad You Came,Braaheim,59,Glad You Came,48,0.732,0.919,-4.634,0,6,0.115,0.0271,0.000866,0.375,0.136,125.997,190879
Play With Me,Ana Shine,39,Play With Me,48,0.714,0.666,-6.012,1,6,0.0756,0.223,0,0.102,0.486,95.065,178261
The Hills,Farux,45,The Hills,48,0.656,0.778,-6.838,1,8,0.265,0.4,0,0.533,0.736,125.916,129717
Young Folks,Jungle Jonsson,40,Young Folks,48,0.75,0.731,-7.367,0,5,0.0379,0.068,3.63e-05,0.184,0.335,134.977,174222
Apologize,Farux,45,Apologize,48,0.677,0.71,-7.108,1,8,0.0552,0.532,0,0.337,0.325,126.109,129410
Tainted Love,Thatsimo,44,Tainted Love,47,0.646,0.765,-7.586,0,6,0.0448,0.0437,0.000141,0.159,0.362,126.024,146667
That Bxtch,Taylor Watson,29,That Bxtch,47,0.645,0.681,-5.961,1,4,0.139,0.037,0,0.0783,0.458,163.87,142644
DÁKITI,Dame Dame,48,DÁKITI,47,0.726,0.815,-5.092,0,4,0.101,0.206,0,0.631,0.627,121.975,147367
The Boss,Coopex,60,The Boss,47,0.734,0.789,-5.328,1,11,0.243,0.0809,0.000115,0.215,0.258,125.992,133810
One too Many Times,JRL,44,One Too Many Times,47,0.721,0.778,-6.53,0,8,0.0459,0.00262,7.29e-05,0.111,0.449,122.023,141636
Kiss Me,Lucas Estrada,63,Kiss Me,47,0.588,0.685,-8.08,1,8,0.0624,0.374,0.000155,0.581,0.122,107.938,146669
Warning / Signs,Matvey Emerson,51,Warning / Signs,46,0.712,0.829,-8.167,0,0,0.03,0.0891,0.0279,0.168,0.541,121.976,155410
Rather Be,Cabuizee,40,Rather Be,46,0.706,0.895,-3.879,0,8,0.148,0.299,0,0.48,0.556,120.978,163884
Moves Like Jagger,Timemachine,35,Moves Like Jagger,46,0.552,0.831,-7.228,0,6,0.194,0.0905,2.6e-05,0.44,0.733,127.851,199687
Love Me Again,CPX,52,Love Me Again,46,0.798,0.824,-5.642,0,0,0.413,0.206,0.000308,0.436,0.242,125.0,134400
Serenity,Shab,37,Serenity,46,0.688,0.595,-8.094,0,8,0.0508,0.0515,2.7e-06,0.0853,0.312,117.979,202507
As It Was,Michael Shynes,52,As It Was,46,0.595,0.812,-5.623,1,9,0.0481,0.00321,1.38e-06,0.397,0.483,104.98,124571
Payphone,Faruk Orman,43,Payphone,45,0.721,0.707,-7.953,1,11,0.224,0.563,6.4e-06,0.338,0.462,125.07,128825
Best Friend (feat. Doja Cat),Saweetie,73,Best Friend (feat. Doja Cat) [Remix EP],45,0.84,0.766,-4.12,1,4,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,155884
Lovely,Alfons,58,Lovely,45,0.504,0.677,-6.954,0,4,0.064,0.316,0.00127,0.268,0.0375,128.078,159023
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,29,Chaa Chaa Chaa (feat. HoodCelebrityy),45,0.808,0.592,-6.382,1,2,0.415,0.431,0,0.426,0.628,139.925,185376
Let Her Go,LANDR,41,Let Her Go,44,0.712,0.803,-7.206,1,7,0.0276,0.00537,9.81e-05,0.307,0.308,120.018,201005
When Hello Means Goodbye,Alex Alexander,46,On My Way,44,0.741,0.475,-7.665,1,2,0.205,0.0214,0,0.351,0.597,166.016,158160
Sunroof,Nicky Youre,73,Sunroof,44,0.768,0.716,-5.11,1,10,0.0404,0.35,0,0.15,0.841,131.43,163026
Mr. Saxobeat,Nito-Onna,61,Mr. Saxobeat,43,0.696,0.899,-5.812,0,6,0.144,0.131,0.00141,0.114,0.517,123.901,159927
What's up?,LeXxìv,32,What's up?,43,0.641,0.597,-7.06,1,9,0.033,0.000399,0,0.367,0.394,120.06,186000
Feel Your Love,Yusuf Alev,46,Feel Your Love,43,0.68,0.778,-6.294,1,6,0.0433,0.0705,0,0.31,0.511,124.981,172714
Pieces,Nippandab,40,Pieces,42,0.698,0.78,-6.251,1,6,0.0626,0.157,0.0325,0.309,0.203,122.076,177956
Ocean Eyes,Farux,45,Ocean Eyes,42,0.729,0.763,-7.677,1,6,0.0345,0.668,0.0264,0.147,0.113,125.989,137029
Dreamer,Astelle,32,Dreamer,42,0.744,0.848,-5.073,0,9,0.0993,0.0811,1.12e-05,0.0889,0.823,150.056,178913
"Hey, Soul Sister",LANDR,41,"Hey, Soul Sister",41,0.642,0.725,-7.89,1,11,0.0571,0.192,0,0.153,0.134,105.101,196583
On My Way,Alex Alexander,46,On My Way,40,0.67,0.544,-5.506,1,4,0.0252,0.0429,0,0.0926,0.772,96.039,200840
MONTERO (Call Me By Your Name),Lil Nas X,81,MONTERO (Call Me By Your Name),4,0.61,0.508,-6.682,0,8,0.152,0.297,0,0.384,0.758,178.818,137876
WHATS POPPIN,Jack Harlow,84,WHATS POPPIN,4,0.923,0.604,-6.671,0,11,0.245,0.017,0,0.272,0.826,145.062,139741
We Know,JAM & Philly,21,We Know,39,0.871,0.819,-6.022,0,4,0.256,0.142,0,0.106,0.712,112.114,198982
Wild & Free,Nander,37,Wild & Free,39,0.474,0.722,-6.209,1,2,0.0355,0.0604,0,0.584,0.274,155.941,149231
Paid,Astelle,32,Paid,39,0.861,0.631,-10.286,1,8,0.23,0.0188,0.000283,0.0954,0.675,117.993,180923
K Boy Bye,Astelle,32,K Boy Bye,39,0.547,0.865,-5.058,0,7,0.0483,0.0141,0,0.245,0.638,159.87,166354
Why,Padé,39,Why (with WLHELMINA),38,0.61,0.902,-4.351,0,11,0.0764,0.133,0.000333,0.119,0.478,186.049,154839
Falling Down,Andrew Nagy,32,Falling Down,38,0.574,0.852,-9.051,1,5,0.0438,0.032,0.0705,0.136,0.0363,123.005,165854
Let It Go,Dame Dame,48,Let It Go,38,0.769,0.796,-7.37,1,8,0.0564,0.0279,1.97e-06,0.0871,0.681,122.039,130286
Old Times,Xtinctor,21,Old Times,38,0.581,0.718,-5.631,1,1,0.0851,0.0195,0,0.075,0.149,92.992,184516
When the Sun Goes Down,Martin van Lectro,39,When the Sun Goes Down,37,0.544,0.748,-5.556,1,5,0.0865,0.0646,0,0.519,0.391,123.752,148999
Lies,Dame Dame,48,Lies,37,0.823,0.771,-6.055,0,9,0.0365,0.627,0.00101,0.271,0.658,122.015,156885
Over You,Myrrhe,26,Over You,37,0.863,0.325,-7.864,1,0,0.341,0.667,1.71e-05,0.1,0.537,98.948,126314
Beauty And A Beat,Glamii,38,Beauty And A Beat,36,0.746,0.866,-3.113,0,9,0.148,0.124,1.26e-05,0.596,0.519,128.054,138750
credit union,Kinrose,41,credit union,32,0.776,0.656,-8.921,0,4,0.13,0.329,0,0.119,0.649,148.95,183465
Leave The Door Open,Bruno Mars,86,Leave The Door Open,31,0.586,0.616,-7.964,1,5,0.0324,0.182,0,0.0927,0.719,148.088,242096
When You Were Young,Amero,46,When You Were Young,31,0.806,0.845,-4.753,1,11,0.19,0.0825,0,0.26,0.508,125.998,128095
Red Flag,Pia Baris,18,Red Flag,31,0.715,0.706,-5.804,0,4,0.383,0.326,0.000231,0.525,0.348,126.069,137431
positions,Ariana Grande,87,positions,3,0.736,0.802,-4.759,1,0,0.0864,0.468,0,0.094,0.675,144.005,172325
The Git Up,Blanco Brown,60,The Git Up,3,0.847,0.678,-8.635,1,9,0.109,0.0669,0,0.274,0.811,97.984,200594
drivers license,Olivia Rodrigo,85,drivers license,29,0.585,0.436,-8.761,1,10,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014
Bad Habits,Ed Sheeran,90,Bad Habits,22,0.808,0.897,-3.712,0,11,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041
Aesthetic,Xilo,39,Aesthetic,2,0.714,0.594,-10.63,1,0,0.43,0.965,0.255,0.129,0.45,169.837,158436
Mood (feat. iann dior),24kGoldn,74,Mood (feat. iann dior),18,0.7,0.722,-3.558,0,7,0.0369,0.221,0,0.272,0.756,90.989,140526
Blinding Lights,The Weeknd,93,Blinding Lights,18,0.513,0.796,-4.075,1,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573
Falling,Trevor Daniel,66,Falling,15,0.785,0.431,-8.756,0,10,0.0364,0.123,0,0.0887,0.236,127.085,159382
Calling My Phone,Lil Tjay,79,Calling My Phone,15,0.907,0.393,-7.636,0,4,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458
Put Your Records On,Ritt Momney,60,Put Your Records On,1,0.399,0.492,-10.777,0,6,0.0538,0.058,0.00101,0.11,0.159,91.066,210463
Falling for U,Peachy!,57,Falling for U,1,0.516,0.358,-12.018,0,8,0.424,0.743,1.3e-06,0.0813,0.397,79.509,124000
Write This Down (Instrumental),SoulChef,55,Escapism: Instrumentals,1,0.826,0.738,-4.658,0,10,0.0444,0.00355,0.939,0.0633,0.781,93.005,188421
